Pantheon,Name,Title1,Pronoun,Sentence,Word,Let,Description,Areas of Concern,Edicts,Anathema,Divine Attribute,Cleric Spells,Divine Font,Divine Sanctification,Divine Skill,Domains,Favored Weapon,0,.
Pantheon of Hucaen,Beraur,The Cleansing Light,He/Him,3,44,216,"Beraur's light leads the way to the end of the tunnel, the path back to forgiveness and civilization. The Cleansing Light seeks to bring order to chaos and purity to corruption. His followers are occasionally accused of overzealousness when they burn away the rot.","bravery, honest redemption, the sun","seek out and challenge oppressors and tyrants, defend friends and the innocent","suffer a bully's insults to you or another without retort, abandon a friend in need",Wisdom or Charisma,"1st: force barrage, 2nd: clear mind, 6th: truesight",heal,must choose holy,Medicine,"healing, protection, repose, sun",scimitar,1,
Murder Ghost,Cinderbeard,The Haunted Doom,They/Them,3,34,178,"Cinderbeard murdered Lathas to join the Hucaen pantheon. The Haunted Doom helps those who help themselves, by whatever means necessary. His worship is led in secret by the most ambitious and unscrupulous in society.","ambition, murder, secrets, ghosts","change the world, act with ambition or not at all, keep your plans secret","deny your appetites, seek the approval of society, betray those in the church above you",Dexterity or Charisma,"1st: draw ire, 3rd: curse of lost time, 4th: channel arrogance",harm,must choose unholy,Stealth,"ambition, change, secrecy, undeath",tricky pick,1,
Pantheon of Hucaen,Duella,The Dream Dweller,She/Her,3,43,184,"Duella watches over the people of Hucaen as they sleep and dream. The Dream Dweller is not to be trifled with, however - she can just as easily give nightmares as peaceful sleep. Some say the stars in the sky are individual dreams.","dreams, stars, freedom, nightmares","always make time for sleeping and dreams, ensure others never go to sleep scared","stay up all night without any breaks for sleeping or dreaming, attack a person or creature while they sleep",Constitution or Intelligence,"1st: sleep, 3rd: dream message, 4th: nightmare",harm,can choose holy or unholy,Society,"darkness, dreams, moon, nightmares",starknife,1,
Pantheon of Hucaen,Ghadea,The Cosmic Artist,She/Her,2,40,226,"Ghadea presides over any artful creation, from grand symphonies and towering statues to fashionable clothes and delicate jewelry. The Cosmic Artist is invoked in the construction of many things, from a simple horseshoe to the factories and towers of Smackels-on-the-River.","art, beauty, industry, trade","choose and perfect an art, lead by example, respect the forge","destroy art or allow it to be destroyed, unless saving a life or pursuing greater art; intentionally create inferior works, ",Dexterity or Charisma,"1st: illusory object, 4th: creation, 6th: shape stone",heal,can choose holy,Crafting,"creation, family, glyph, passion",light hammer,1,
Pantheon of Hucaen,Grianke,The Judge Eternal,She/Her,3,33,174,"Grianke embodies balance, truth, and justice. The Eternal Judge wants to root out corruption and injustice everywhere. His followers accomplish this by direct action or exposing it for the public to take action.","truth, justice, family, honor","be humble; help others perfect themselves; hone your body, mind, and spirit to a more perfect state","become addicted to a substance, refuse a challenge from an equal, repeatedly fail to maintain self-control",Constitution or Intelligence,"1st: charm, 2nd: revealing light, 6th: zealous conviction",harm,can choose holy or unholy,Society,"duty, introspection, perfection, truth",longsword,1,
Pantheon of Hucaen,Jevitras,The Keen Librarian,They/Them,3,38,196,"Jevitras searches for new knowledge and new magic relentlessly. The Keen Librarian has directed their followers to build libraries and laboratories instead of temples. They prefer if people don't get hurt in the process, but only so much.","magic, knowledge, alchemy",seek out magical power and use it,pursue mundane paths over magical ones,Intelligence or Wisdom,"1st: pocket library, 2nd: translate, 8th: quandary",heal or harm,can choose holy or unholy,Arcana,"freedom, knowledge, magic, star",staff,1,
Pantheon of Hucaen,Qhontia,The Teeming Rebirth,They/Them,2,43,176,"Qhontia presides over the cycle of death and birth, from death in combat and old age, to reincarnation, all the way on down to compost. They make sure the cycle continues - things must die to make room for things to be born.","death, birth, nature, darkness","recycle rot and waste into useful creations, shock the self-righteous, destroy undead","waste food or good materials, allow rot to poison an area, create undead",Constitution or Wisdom,"1st: pest form, 2nd: one with plants, 7th: execute",heal or harm,can choose holy or unholy,Survival,"death, decay, indulgence, nature",sickle,1,
Smackels-on-the-River Trinity,Renza,The Blood Risen,She/Her,2,30,146,"Renza fiercely protects those she loves, and those in need. The Blood Risen is strong emotion and adrenaline personified: She loves the thrill of combat, of love, of righteous fury.","lust, protection, valor, pride",do whatever it takes to survive,"allow others to slight you without retaliation, forgive those who have wronged you, sacrifice others in your place",Strength or Intelligence,"1st: pummeling rubble, 2nd: blood vendetta, 3rd: vampiric feast",harm,can choose holy or unholy,Athletics,"cities, confidence, luck, pain",war pick,1,
Pantheon of Hucaen,Solous,The Savage Wild,He/Him,2,44,210,"Solous enjoys all things that sow discord - friends falling out over a misunderstanding, a mark falling hard for a particularly nasty con, and anything that undermines authority. The Savage Wild will happily bring down a town or even a city towards this end.","hunting, disaster, wrath, secrets","embarrass and expose hypocrites, humble those in power, play pranks and practical jokes","show remorse for your pranks, take a joke personally",Strength or Charisma,"1st: thunderstrike, 2nd: laughing fit, 5th: hallucination",harm,must choose unholy,Intimidation,"delirium, destruction, swarm, trickery",war razor,1,
Smackels-on-the-River Trinity,Taszia,The Tears Wept,He/Him,3,47,207,"Taszia ushers the dead to a peaceful rest, and abhors anything that interferes, especially the undead. The Tears Wept mourn for those who have died, and those he knows will die. He is cursed with the knowledge of the future, and shares in the form of prophecy.","fate, loss, pain, prophecy","lay bodies to rest, aid fellow travelers, explore new places","make decisions erratically or randomly, desecrate a corpse, rob a tomb, engage in banditry or piracy",Dexterity or Charisma,"1st: verdant sprout, 4th: translocate, 8th: migration",heal,can choose holy,Society,"sorrow, soul, travel, vigil",shield bow,1,
Pantheon of Hucaen,Taveyar,The Dread Archduke,He/Him,3,35,170,"Taveyar believes that might makes right. The Dread Archduke has fans in all levels of many heirarchies, particularly military ones. His preferred method of worship is via combat, and he is not known for mercy.","strength, revenge, tyranny, battle","veil your motives, make dangerous deals, speak with refinement","cower from fights, neglect your defenses, betray a lover",Strength or Wisdom,"1st: hydraulic push, 4th: vision of death, 9th: massacre",harm,can choose unholy,Athletics,"might, toil, tyranny, zeal",greataxe,1,
