Source,Deity,Title,Pronoun,Sentence,Word,Let,Description,Areas of Concern,Edicts,Anathema,Divine Attribute,Cleric Spells,Divine Font,Divine Sanctification,Divine Skill,Domains,Favored Weapon,0,
Remaster Pantheon,Cayden Cailean,The Accidental God,He/Him,3,38,182,"The Accidental God ascended from mortal life on a drunken dare. Cayden, the Drunken Hero, promotes freedom and encourages others to find their own path in life. He fights for just causes and delights in the best indulgences.","ale, bravery, freedom, and wine","drink, aid the oppressed, seek glory and adventure","waste alcohol, be mean or standoffish when drunk, oppress the vulnerable",Constitution or Charisma,"1st:fleet step, 2nd:stupefy, 5th:hallucination",heal,can choose holy,Athletics,"cities, freedom, indulgence, might",rapier,0,
Remaster Pantheon,Desna,The Song of Spheres,She/Her,2,39,190,"Desna set her sights on the heavens, placing stars in the sky to guide travelers through the darkness and dreamers through nightmares. The Song of Spheres delights in freedom and mystery, and encourages her followers to do the same.","dreams, luck, stars, and travelers","aid fellow travelers, explore new places, express yourself through art and song, find what life has to offer","cause fear or despair, cast, nightmare, or use similar magic to corrupt dreams, engage in bigoted behavior",Charisma or Dexterity,"1st:sleep, 4th:translocate, 5th:dreaming potential",heal,can choose holy,Acrobatics,"dreams, luck, moon, travel",starknife,0,
Remaster Pantheon,Erastil,Old Deadeye,He/Him,2,41,199,"Long ago, Erastil was a horned god of the hunt, but his worship evolved to focus on rural communities. Old Deadeye desires nothing more than peaceful lives for his followers, calling them to arms only when that pastoral existence is threatened.","family, farming, hunting, and trade","care for your home and family, fulfill your duties, keep the peace, protect the community","abandon your home in its time of need, choose yourself over your community, tarnish your reputation, tell lies",Constitution or Wisdom,"1st:sure strike, 3rd:wall of thorns, 5th:nature’s pathway",heal,can choose holy,Survival,"earth, family, nature, wealth",longbow,0,
Remaster Pantheon,Sarenrae,The Dawnflower,She/Her,2,43,202,"Once a powerful angel and empyreal lord, Sarenrae led the charge to imprison Rovagug. The Dawnflower seeks to redeem evil where possible, burn it away with the fire of the sun when it can’t be redeemed, and restore those harmed by evil’s machinations.","healing, honest redemption, and the sun","destroy the Spawn of Rovagug, protect allies, provide aid to the sick and wounded, seek and allow redemption","create undead, lie, deny a repentant creature an opportunity for redemption, fail to strike down evil",Constitution or Wisdom,"1st:breathe fire, 3rd:fireball, 4th:wall of fire",heal,can choose holy,Medicine,"fire, healing, sun, truth",scimitar,0,
Remaster Pantheon,Shelyn,The Eternal Rose,She/Her,2,30,153,"Shelyn, the Eternal Rose, promotes peace and love, and she encourages her followers to create beauty in a sometimes-dark world. She seeks to one day redeem her corrupted brother, Zon-Kuthon.","art, beauty, love, and music","be peaceful, choose and perfect an art, lead by example, see the beauty in all things","destroy art or allow it to be destroyed, unless saving a life or pursuing greater art; refuse to accept surrender",Wisdom or Charisma,"1st:dizzying colors, 3rd:enthrall, 4th:creation",heal,can choose holy,Crafting or Performance,"creation, family, passion, protection",glaive,0,
Remaster Pantheon,Torag,The Father of Creation,He/Him,1,31,157,"Although revered by many dwarves as the Father of Creation, Torag strives to protect every community where he is worshipped and is also followed by those who treasure crafting and creation.","forge, protection, and strategy","be honorable and forthright, keep your word, respect the forge, serve your people","tell lies or cheat someone, intentionally create inferior works, show continued mercy to the enemies of your people when such enemies prove they are undeserving",Constitution or Wisdom,"1st:mindlink, 3rd:earthbind, 4th:creation",heal,can choose holy,Crafting,"creation, earth, family, protection",warhammer,0,
Remaster Pantheon,Norgorber,"Blackfingers, et al",He/Him,1,28,161,"This shadowy figure is worshipped in four aspects: Blackfingers, ally of alchemists and poisoners; the murderous Father Skinsaw; the thieving Gray Master; and the secretive Reaper of Reputation.","greed, murder, poison, and secrets","keep your true identity secret, sacrifice anyone necessary, take every advantage in a fight, work from the shadows","allow your true identity to be connected to your foul dealings, share a secret freely, show mercy",Dexterity or Intelligence,"1st:illusory disguise, 2nd:invisibility, 4th:vision of death",harm,can choose unholy,Stealth,"death, secrecy, trickery, wealth",shortsword,0,
Remaster Pantheon,Zon-Kuthon,The Midnight Lord,He/Him,2,35,166,"Once a god of art, beauty, and music, like Shelyn, the Midnight Lord returned from a sojourn in the dark spaces between the planes horribly changed. Zon-Kuthon now teaches the pleasures of pain and darkness.","darkness, envy, loss, and pain","bring pain to the world, mutilate your body","create permanent or long-lasting sources of light, provide comfort to those who suffer",Constitution or Wisdom,"1st:phantom pain, 3rd:wall of thorns, 5th:umbral journey",harm,can choose unholy,Intimidation,"ambition, darkness, destruction, pain",spiked chain,0,
Remaster Pantheon,Iomedae,The Inheritor,She/Her,2,37,182,"Prior to her ascension and inheritance of many of the god of humanity’s worshippers, Iomedae was a holy warrior in wars against the undead. The Inheritor upholds the values of virtue, fighting against the wicked and unjust.","honor, justice, rulership, and valor","be temperate, fight for justice and honor, hold valor in your heart","abandon a companion in need, dishonor yourself, refuse a challenge from an equal",Strength or Constitution,"1st:sure strike, 2nd:enlarge, 4th:fire shield",heal,must choose holy,Intimidation,"confidence, might, truth, zeal",longsword,0,
Remaster Pantheon,Asmodeus,Prince of Darkness,He/Him,2,32,167,"Asmodeus, Prince of Darkness, delights in tempting mortals to give in to corruption. He promotes hierarchies where everyone knows their place, and he takes advantage of order for his own selfish benefit.","contracts, oppression, pride, and tyranny","negotiate contracts to your best advantage, rule tyrannically and torture weaker beings, show subservience to your betters","break a contract, share power with the weak, insult Asmodeus by showing mercy to your enemies",any (characters who commit themselves to Asmodeus this way have their souls bound to the Dark Prince for all eternity),"1st:charm, 4th:suggestion, 6th:mislead",harm,must choose unholy,Deception,"confidence, fire, trickery, tyranny",mace,0,
